Latitude,Longitude
-77.4616569999112272,169.1839688376855122
-77.4497741240554660,169.2161507690955204
-77.4601137744530632,169.2332210660207465
-77.4490152418733118,169.2168193709165109
-77.4480449636964181,169.2146603081809246
-77.4478469945709236,169.2143334700747914
-77.4481421177440410,169.2161850100621905
-77.4484799369508892,169.2167427343513282
-77.4591405116489682,169.2357071677626834
-77.4483084027499444,169.2178238440406801
-77.4491714010486731,169.2178843104209705
-77.4594649325836713,169.2348784671820283
-77.4597893535183744,169.2340497666014016
-77.4494727625520625,169.2170175397582454
-77.4509623066364270,169.2167481000737155
-77.4604381953877663,169.2323923654400915
-77.4607626163224552,169.2315636648594364
-77.4513501772201494,169.2160241520046782
-77.4551373048271188,169.2181836142659392
-77.4571114410389754,169.2214428242016027
-77.4616569999112272,169.1839688376855122
