47.881155852,-81.332097694
47.884078330,-81.329793472
47.883944248,-81.328606767
47.884121637,-81.328562469
47.884062041,-81.328035045
47.885215069,-81.327747091
47.885274666,-81.328274527
47.885452055,-81.328230227
47.885481853,-81.328493946
47.885659242,-81.328449647
47.885718836,-81.328977088
47.885896225,-81.328932790
47.885926022,-81.329196512
47.886103411,-81.329152214
47.886163002,-81.329679661
47.886340391,-81.329635365
47.886355289,-81.329767227
47.886177899,-81.329811522
47.886207694,-81.330075246
47.886118999,-81.330097393
47.886029614,-81.329306224
47.885940920,-81.329328373
47.886030304,-81.330119541
47.885941609,-81.330141688
47.885822429,-81.329086799
47.885733734,-81.329108948
47.885852914,-81.330163835
47.885764219,-81.330185981
47.885585446,-81.328603656
47.885496752,-81.328625806
47.885675525,-81.330208128
47.885586830,-81.330230275
47.885378259,-81.328384236
47.885289565,-81.328406386
47.885527928,-81.330516142
47.885439233,-81.330538288
47.885141274,-81.327901100
47.885052579,-81.327923251
47.885395227,-81.330956015
47.885572617,-81.330911724
47.885602409,-81.331175445
47.885779799,-81.331131155
47.885794694,-81.331263016
47.885617304,-81.331307306
47.885647095,-81.331571028
47.885558400,-81.331593172
47.885498818,-81.331065730
47.885410123,-81.331087875
47.885469705,-81.331615316
47.885381010,-81.331637461
47.885068177,-81.328868410
47.884963885,-81.327945401
47.884875190,-81.327967551
47.885292314,-81.331659605
47.885203619,-81.331681749
47.884786496,-81.327989702
47.884697801,-81.328011852
47.885085134,-81.331440174
47.884996438,-81.331462318
47.884609107,-81.328034002
47.884520412,-81.328056152
47.884877952,-81.331220744
47.884789257,-81.331242889
47.884431718,-81.328078302
47.884343023,-81.328100452
47.884640978,-81.330737600
47.884552283,-81.330759746
47.884254329,-81.328122601
47.884165634,-81.328144751
47.884433796,-81.330518176
47.884345101,-81.330540321
47.884136535,-81.328694325
47.884047841,-81.328716474
47.884167024,-81.329771325
47.884078330,-81.329793472
47.881155852,-81.332097694
