Latitude,Longitude
49.3656427304049643,14.2505300863795004
49.3664749700237522,14.2495593126454612
49.3676651215913935,14.2517359439660414
49.3676651215913935,14.2517359439660414
49.3682365755603243,14.2513635864947119
49.3674603684037336,14.2499447834668924
49.3680626674852689,14.2501011064139647
49.3684381699849197,14.2507874748388428
49.3685159645033664,14.2504573731583246
49.3683638170260437,14.2501792678874999
49.3677615179445013,14.2500229449404276
49.3683472665840597,14.2510936152328718
49.3681258845365889,14.2516335577565521
49.3671592188629589,14.2498666219933572
49.3656427304049643,14.2505300863795004
