47.881152753,-81.332150756
47.881167648,-81.332282606
47.881877210,-81.332105473
47.881892105,-81.332237324
47.881359933,-81.332370173
47.881374827,-81.332502024
47.882084390,-81.332324893
47.882099285,-81.332456745
47.881567112,-81.332589592
47.881582006,-81.332721443
47.882114179,-81.332588597
47.882129073,-81.332720450
47.881774291,-81.332809013
47.881789185,-81.332940865
47.882321358,-81.332808021
47.882336251,-81.332939874
47.881715383,-81.333094857
47.881685595,-81.332831154
47.881508205,-81.332875435
47.881478417,-81.332611733
47.881301026,-81.332656015
47.881271237,-81.332392315
47.881093847,-81.332436597
47.880959792,-81.331249953
47.881137182,-81.331205666
47.881107390,-81.330941968
47.881284781,-81.330897680
47.881076221,-81.329051791
47.881697084,-81.328896762
47.881711982,-81.329028612
47.881179814,-81.329161493
47.881194712,-81.329293342
47.882525133,-81.328961137
47.882495336,-81.328697433
47.883382283,-81.328475949
47.883352485,-81.328212241
47.883973346,-81.328057194
47.883988245,-81.328189050
47.883456078,-81.328321946
47.883470977,-81.328453800
47.884003145,-81.328320906
47.884018043,-81.328452762
47.882598929,-81.328807137
47.882613828,-81.328938990
47.883855553,-81.328628915
47.883870452,-81.328760771
47.881209610,-81.329425191
47.881224507,-81.329557041
47.883885350,-81.328892627
47.883900248,-81.329024483
47.883722859,-81.329068779
47.883737757,-81.329200634
47.883915146,-81.329156338
47.883930044,-81.329288194
47.883663960,-81.329354637
47.883634164,-81.329090926
47.881239405,-81.329688890
47.881254302,-81.329820739
47.882496030,-81.329510694
47.882510928,-81.329642546
47.881269199,-81.329952589
47.881284096,-81.330084438
47.882082351,-81.329885129
47.882348435,-81.329818691
47.882363333,-81.329950543
47.881298993,-81.330216288
47.881313890,-81.330348137
47.882200840,-81.330126687
47.882215737,-81.330258538
47.881328787,-81.330479987
47.881343683,-81.330611837
47.882053244,-81.330434680
47.882068140,-81.330566532
47.881358580,-81.330743687
47.881373476,-81.330875536
47.881905646,-81.330742672
47.881920542,-81.330874524
47.881210981,-81.331051674
47.881225877,-81.331183523
47.881935438,-81.331006375
47.881950334,-81.331138226
47.881063383,-81.331359659
47.881078278,-81.331491508
47.881965230,-81.331270078
47.881980126,-81.331401930
47.881093173,-81.331623358
47.881108068,-81.331755207
47.881817631,-81.331578067
47.881832526,-81.331709918
47.881122963,-81.331887057
47.881137858,-81.332018906
47.881847421,-81.331841770
47.881862316,-81.331973621
47.881152753,-81.332150756
