Latitude,Longitude
47.8811558516245128,-81.3320976940342035
47.8858443033872945,-81.3290112728664099
47.8813270336974668,-81.3307397578241051
47.8831658284646622,-81.3301189554385076
47.8833151123607976,-81.3301161192822377
47.8833151123607976,-81.3301161192822377
47.8859125460556285,-81.3291235976734015
47.8859125460556285,-81.3291235976734015
47.8859807887239555,-81.3292359224803931
47.8836957157076739,-81.3301089226146701
47.8836957157076739,-81.3301089226146701
47.8840036476732536,-81.3301031134697894
47.8840216840843382,-81.3301231110953040
47.8840216840843382,-81.3301231110953040
47.8860490313922895,-81.3293482472873706
47.8860490313922895,-81.3293482472873706
47.8861172740606165,-81.3294605720943622
47.8841144515618353,-81.3302260517462372
47.8841144515618353,-81.3302260517462372
47.8842072190393253,-81.3303289923971704
47.8842066767482635,-81.3303300788663819
47.8861855167289505,-81.3295728969013538
47.8862537593972775,-81.3296852217083455
47.8842999865168224,-81.3304319330480894
47.8842999865168224,-81.3304319330480894
47.8843927539943195,-81.3305348736990226
47.8843922117032577,-81.3305359601682341
47.8862609114388107,-81.3298209221906205
47.8857815848626203,-81.3301427685155716
47.8844855214718166,-81.3306378143499558
47.8844855214718166,-81.3306378143499558
47.8846204311099726,-81.3307243500509429
47.8846201257601578,-81.3307256255597792
47.8853022582864227,-81.3304646148405226
47.8851600371690012,-81.3306574713652992
47.8847717519665963,-81.3308048858772707
47.8848844624282890,-81.3308648867578796
47.8848470368377619,-81.3309169025122998
47.8848470368377619,-81.3309169025122998
47.8852523692218597,-81.3307605786268084
47.8852523692218597,-81.3307605786268084
47.8853447012747182,-81.3308636858883176
47.8847095231832398,-81.3311079577767231
47.8845720095287248,-81.3312990130411322
47.8845713903118835,-81.3312980221961652
47.8854370333275767,-81.3309667931498268
47.8855293653804353,-81.3310699004113502
47.8844344958742028,-81.3314900683055555
47.8844344958742028,-81.3314900683055555
47.8842969822196807,-81.3316811235699646
47.8842963630028464,-81.3316801327249834
47.8856216974332938,-81.3311730076728594
47.8857140294861523,-81.3312761149343686
47.8815845651131724,-81.3328562103331763
47.8811558516245128,-81.3320976940342035
