Latitude,Longitude
49.3623464656463327,14.2612934675344540
49.3621316899272884,14.2603225536214158
49.3625895929426477,14.2632792112950835
49.3624772524958644,14.2630910263281212
49.3620699029998846,14.2604607902895690
49.3620081160724808,14.2605990269577223
49.3623649120490882,14.2629028413611589
49.3622525716023048,14.2627146563941967
49.3619463291450771,14.2607372636258756
49.3618845422176733,14.2608755002940271
49.3621402311555215,14.2625264714272344
49.3619155502619620,14.2621501014933099
49.3618144837602415,14.2614975199687652
49.3618257577053043,14.2610331234111829
49.3620278907087453,14.2623382864602721
49.3627019333894310,14.2634673962620440
49.3621934768546993,14.2601843169532625
49.3623464656463327,14.2612934675344540
