Latitude,Longitude
-77.4616569999112272,169.1839688376855122
-77.4571114410389754,169.2214428242016027
-77.4551373048271188,169.2181836142659392
-77.4521259183875799,169.2145762558666604
-77.4614114581918614,169.2299062636981546
-77.4535052973357381,169.2154892434322164
-77.4525137889713022,169.2138523077976515
-77.4513501772201494,169.2160241520046782
-77.4607626163224552,169.2315636648594364
-77.4604381953877663,169.2323923654400915
-77.4509623066364270,169.2167481000737155
-77.4517380478038575,169.2153002039356693
-77.4610870372571583,169.2307349642787813
-77.4616569999112272,169.1839688376855122
