-77.461396132,169.182166393
-77.454075279,169.216526319
-77.453895909,169.218945122
-77.454421492,169.219770677
-77.453883230,169.227026944
-77.454408788,169.227852831
-77.453960070,169.233899473
-77.453434530,169.233073366
-77.453075473,169.237910198
-77.452287181,169.236670902
-77.452376948,169.235461785
-77.452902480,169.236287922
-77.452992245,169.235078744
-77.449313439,169.229297527
-77.449403173,169.228088640
-77.452293694,169.232630503
-77.453082005,169.233869550
-77.453171759,169.232660339
-77.448967340,169.226054209
-77.449057059,169.224845332
-77.453787053,169.232277139
-77.453876800,169.231067849
-77.448621202,169.222811066
-77.448710907,169.221602200
-77.453966542,169.229858543
-77.454056279,169.228649220
-77.448275025,169.219568100
-77.448364716,169.218359243
-77.453620450,169.226614027
-77.453710172,169.225404713
-77.447403216,169.215500317
-77.447492888,169.214291514
-77.453799889,169.224195383
-77.453889600,169.222986035
-77.449684944,169.216382721
-77.449774620,169.215173708
-77.453979305,169.221776671
-77.454069006,169.220567290
-77.450915485,169.215614924
-77.451005158,169.214405789
-77.453633117,169.218532371
-77.453722802,169.217322999
-77.452146024,169.214846979
-77.452235693,169.213637722
-77.452761292,169.214462950
-77.452940622,169.212044299
-77.453203424,169.212456894
-77.453024091,169.214875590
-77.454075279,169.216526319
-77.461396132,169.182166393
