-77.459247700,169.221951286
-77.460036059,169.223190349
-77.459946347,169.224400278
-77.459420779,169.223574175
-77.459241346,169.225993894
-77.458715783,169.225167771
-77.458536336,169.227587333
-77.458273557,169.227174253
-77.458453000,169.224754735
-77.458190217,169.224341716
-77.457651833,169.231599935
-77.457389060,169.231186801
-77.457927433,169.223928714
-77.457664648,169.223515730
-77.455959167,169.246497150
-77.456484665,169.247323973
-77.456215189,169.250952188
-77.455952446,169.250538702
-77.456132098,169.248119953
-77.455869351,169.247706528
-77.455689702,169.250125233
-77.455426957,169.249711781
-77.457401863,169.223102762
-77.457139077,169.222689811
-77.455164212,169.249298346
-77.454901466,169.248884929
-77.456876291,169.222276877
-77.456613503,169.221863961
-77.455087764,169.242425077
-77.454818354,169.246052999
-77.454555603,169.245639659
-77.456530108,169.219031827
-77.456267316,169.218618988
-77.454292851,169.245226336
-77.454030099,169.244813030
-77.455825138,169.220625313
-77.455562348,169.220212464
-77.453946944,169.241981320
-77.453684187,169.241568092
-77.454043310,169.236731133
-77.453780545,169.236318010
-77.453421429,169.241154882
-77.453158671,169.240741688
-77.453607542,169.234695666
-77.454133077,169.235521851
-77.455299558,169.219799632
-77.455036767,169.219386818
-77.454498516,169.226643451
-77.454235735,169.226230522
-77.454773975,169.218974020
-77.454248390,169.218148476
-77.454338074,169.216939043
-77.455914833,169.219415748
-77.456094207,169.216996568
-77.456882589,169.218235018
-77.456703204,169.220654330
-77.459068282,169.224370995
-77.459247700,169.221951286
