Latitude,Longitude
49.3656427304049643,14.2505300863795004
49.3661542751506417,14.2513358167881830
49.3645297271062944,14.2483663599046952
49.3626314583755672,14.2448965781590751
49.3645040961372743,14.2483195099160831
49.3645423166770598,14.2479170722872652
49.3628916510641318,14.2448998759761469
49.3632136230654908,14.2450160981270049
49.3645805372168454,14.2475146346584456
49.3646187577566309,14.2471121970296277
49.3635494119232092,14.2451575756461981
49.3645567784963575,14.2455820082037778
49.3648997044593898,14.2462088310699801
49.3650292591438671,14.2459733400609387
49.3648925673540759,14.2457234857229711
49.3642209896386390,14.2454405306845846
49.3646951988362019,14.2463073217719902
49.3646569782964164,14.2467097594008081
49.3638852007809206,14.2452990531653914
49.3621110729984309,14.2448899825249349
49.3638137417677711,14.2480022336614951
49.3635268475293785,14.2479501289770507
49.3618508803098663,14.2448866847078630
49.3613304949327372,14.2448800890737211
49.3629530590525860,14.2478459196081619
49.3610450407614323,14.2453029163112124
49.3608101095556009,14.2448734934395791
49.3610703022441655,14.2448767912566510
49.3616679964856075,14.2459692965141205
49.3632399532909787,14.2478980242926063
49.3615906876213018,14.2448833868907929
49.3623712656870026,14.2448932803420050
49.3660903323815319,14.2516924749532841
49.3660272662570634,14.2520494981711732
49.3660281429017047,14.2520498632239629
49.3642886485385759,14.2488702998196413
49.3656427304049643,14.2505300863795004
