Latitude,Longitude
-77.4616569999112272,169.1839688376855122
-77.4571114410389754,169.2214428242016027
-77.4551373048271188,169.2181836142659392
-77.4521259183875799,169.2145762558666604
-77.4614114581918614,169.2299062636981546
-77.4535052973357381,169.2154892434322164
-77.4525137889713022,169.2138523077976515
-77.4513501772201494,169.2160241520046782
-77.4607626163224552,169.2315636648594364
-77.4604381953877663,169.2323923654400915
-77.4509623066364270,169.2167481000737155
-77.4517380478038575,169.2153002039356693
-77.4610870372571583,169.2307349642787813
-77.4617358791265502,169.2290775631174995
-77.4583292953867755,169.2234534468560696
-77.4593213840633297,169.2237270356336296
-77.4620603000612533,169.2282488625368444
-77.4623343109359013,169.2273369372184106
-77.4601651414167947,169.2237557360802214
-77.4608754664515118,169.2235641457807276
-77.4624293915349824,169.2261296060772224
-77.4625244721340636,169.2249222749360058
-77.4615857914862147,169.2233725554812622
-77.4625305646352871,169.2220979656495956
-77.4624089260543656,169.2233672086385354
-77.4616569999112272,169.1839688376855122
